designation_pdf,designation_csv,code_ean,gamme,pr_vente,score
1664 50cl,1664 50cl,"""à_àé&ààà''ç&",—,1.90,100
SANPELLEGRINO gout o,PEL,5000394002241,—,4.90,80
"KRONENBOURG 7,2 cane","KRONENBOURG 7,2 canette 50cl","""à_àé&-à&èè_(",—,2.00,80
LA GOUDALE canette 5,GOUDALE,3261570003458,—,4.90,80
OASIS tropical,OASIS TROPICAL,3124480183828,—,2.95,100
KITKAT chunky,KITKAT chunky,"""_àààéà'à&'èè",—,1.20,100
KITKAI chunky,KITKAI chunky,"""_àààéà'&_-à'",—,1.20,100
REDBULL,REDBULL ,çààé'çà&àààèà,—,2.50,100
REDBULLE framboise g,REDBULL ,çààé'çà&àààèà,—,2.50,80
REDBULL BLUE EDITION,REDBULL BLUE EDITION MYRTILLE,çààé'çàé&ç(-è,—,2.90,80
REDBULL RED édition,Redbull red,9002490250157,—,2.80,80
REDBULL ICE édition,REDBULL ICE édition ice vanilla ber,çààé'çàéè((à&,—,2.90,80
REDBULL SUMMER edito,REDBULL SUMMER editon peche blanche,"çààé'çàé_""-_&",—,2.90,80
REDBULL 335ml,REDBULL 335ml,çààé'çàéàç(çç,—,4.20,100
RED BUL 25CL,RED BUL 25CL,9002490100070,—,2.50,100
RED BULL white peach,RED BULL white peach,9002490283681,—,2.90,100
Redbull bleu cyan,Redbull bleu cyan,9002490275501,—,2.80,100
CANDY POP CORN M&M's,CANDY POP CORN M&M's,"_&'&àçàé&""è'",—,6.50,100
CANDY POP snickers,CANDY POP snickers,"_&'&àçàé&""(à",—,5.99,100
CANDY POP twix,CANDY POP twix,"_&'&àçàé&""_&",—,6.50,100
CANDY POP oreo,CANDY POP oreo,"_&'&àçàé&""'""",—,6.50,100
KINDER bueno white,KINDER bueno white,_àè-&è-&,—,1.50,100
LION brownie,LION brownie,8445291156753,—,1.00,100
LION,LION,"è-&""à""_""&-""'(",—,1.00,100
COCA-COLA cherry,COCA-COLA cherry,"(çç""""""àààà&&'",—,1.20,100
COCA-COLA vanille,COCA-COLA vanille,(''çàààé_'-&è,—,1.20,100
COCA-COLA,COCA-COLA ,(''çààààààçç-,—,1.20,100
COCA-COLA en verre 2,COCA,5000112651324,—,2.60,80
COCA 0.50CL,COCA 0.50CL,54491472,—,1.90,100
COCA COLA 33CL,COCA COLA 33CL,5449000000996,—,1.20,100
COCA ZERO 1.5L,COCA ZERO 1.5L,5449000133335,—,2.60,100
B'LUE peach,B'LUE peach,8850389115572,—,3.00,100
B'LUE liychee,B'LUE liychee,"__(à""_ç&&-""-'",—,3.00,100
BLUE pomme,BLUE pomme,"__(à""_ç&&-_(é",—,3.00,100
CODY'S vody 22%,CODY'S vody 22%,'&àé-&à(àç'ç(,—,5.00,100
CODY'S vody 18%,CODY'S vody 18%,'&àé-&à(à_&èè,—,5.00,100
POLIAKOV 20cl,POLIAKOV 20cl,"""&'è-çè(&&(à(",—,5.60,100
POLIAKOV flash 20cl,POLIAKOV flash 20cl,"""&'è-çààèà'à(",—,5.60,100
ABSOLUT VODKA & SPRI,ABSOLUT VODKA & SPRITE,"(ààà&&é-_""é__",—,5.00,80
ABSOLUT VODKA 5cl,ABSOLUT VODKA 5cl,"è""&éà'àà&è(à_",—,3.90,100
CRISTALINE 50cl,CRISTALINE 50cl,"""é-__'ààà&àà_",—,0.50,100
"eau 1,5L","eau 1,5L","""éè'à_ààà(àà""",—,1.00,100
EAU CRIST 50 CL,EAU CRIST 50 CL,3268840001008,—,0.50,100
EAU S.PELLEGRINO 50C,EAU S.PELLEGRINO 50CL,8002270015328,—,1.20,80
LIPTON framboise,LIPTON framboise,"""&-_ç""à&(çç__",—,1.20,100
LIPTON peche,LIPTON peche,"""&-_ç""à&(ç_ç-",—,1.20,100
LIPTON pastèque ment,MENT,80803522,—,4.50,80
OASIS pomme cassis f,OASIS pomme cassis frambroise,"""&é''_à&_-(_'",—,1.20,80
OASIS TROPICAL 33CL,OASIS TROPICAL 33CL,3124480182708,—,1.00,100
OASIS POMM CASSIS 33,OASIS POMM CASSIS 33CL,3124480186584,—,1.20,80
FANTA orange,FANTA orange,"(''çàààà('(""&",—,1.20,100
FANTA citron frappé,FANTA citron frappé,(''çàààé&'_éç,—,1.20,100
FANTA berry,FANTA BERRY,49000067729,—,1.50,100
FANTA saveur fruit d,SAV,3660140958851,—,2.90,80
SCHWEPPES orange pas,SCHWEPPES,3124480002303,—,1.90,80
SCHWEPPES pomme,SCHWEPPES pomme,"""&é''_à&_-__&",—,1.20,100
SCHWEPPES lemon,SCHWEPPES lemon,"('&àéé&""à(&-à",—,1.20,100
MINUTE MAID pomme,MINUTE MAID pomme,(''çàààé(èèç-,—,1.20,100
PRINGLES cheese &chi,PRINGLES,5053990160112,—,3.50,80
PRINGLE SOUR cream,PRINGL,5053990175949,—,3.90,80
PRINGLES sour cream,PRINGLES sour cream,"(à(""ççà&è(_é-",—,3.90,100
PRINGLES original,PRINGLES original,"(à(""ççà&àè""""ç",—,2.00,100
PRINGLES bbq rib,PRINGLES bbq rib,"(à(""ççà&è(ç'ç",—,3.90,100
PRINGLES pizza,PRINGLES pizza,"(à(""ççà&(&à""(",—,3.98,100
PRINGLE sweet chili,PRINGLE sweet chili,"(à(""ççà&è-ààè",—,3.90,100
PRINGLE texa bbq,PRINGLE texa bbq,"(à(""ççà&-&ç""(",—,2.00,100
BONNE MAMAN sablé to,bon,8435124856714,—,2.50,80
BONNE MAMAN tartelet,bon,8435124856714,—,2.50,80
TAKIS blue heat,TAKIS blue heat,_'&é-ààà'è'_',—,2.99,100
TAKIS dragon sweet c,TAKIS dragon sweet chilli,"_'&é-ààà""è'-&",—,2.99,80
TAKIS volcano,TAKIS volcano,_'&é-ààà&ç-_ç,—,2.99,100
TAKIS fuego,TAKIS fuego,_'&é-àààé_(çç,—,2.99,100
POCKT fraise,POCKT fraise,_ççàà''àààà&è,—,2.99,100
POCKY cookie & CREAM,POCKY cookie & CREAM,_ççàà''ààààé',—,2.99,100
AMSTERDAM canette 5,'KG GRAINES HAMSTERS,3276650060818,—,2.00,50
HEINEKEN. canette 50,HEINEK,5942105000941,—,1.90,80
HEINEKEN 50CL,HEINEKEN 50CL,3119780268696,—,1.90,100
HEINEKEN. 50 cl,HEINEKEN. 50 cl,_(ç'ààççé'é'é,—,1.70,100
8.6 canette 50cl,8.6 canette 50cl,"_è&'_ààà""_--ç",—,2.30,100
8.6 ORIGINAL 50CL,8.6 ORIGINAL 50CL,8714800035187,—,1.70,100
DESPERADOS red boute,DESPERADOS,3119789830061,—,2.90,80
VAN HOLTEN'S garlic,VAN,8690906401258,—,1.90,80
VAN HOLTEN'S hot mam,VAN,8690906401258,—,1.90,80
CARAIBOS ananas,CARAIBOS ananas ,"""é_è&é""""à&à_-",—,1.50,100
CARAÎBOS banane,CARAÎBOS banane,"""é_è&é""""à&à'_",—,1.50,100
CARAÏBOS litchi,CARAÏBOS litchi,"""é_è&é""""à&""""_",—,1.50,100
CAPRI-SUN safari,CAPRI-SUN safari,'ààà&èè'àè-à_,—,0.50,100
GINGER BEER,GINGER BEER,"_'é""'(""ç&'(è&",—,1.20,100
HAWAI,HAWAI,(''çàààéé'(çà,—,1.20,100
MANZA mango,MANZA mango,_èéà&(è'-_à--,—,1.50,100
TROPICI fraise&kiwi,TROPICI fraise&kiwi ,"(''çààààçç-""&",—,1.20,100
TROPICO orange & ana,TROPICO orange & ananas,(''çàààà&é_&',—,1.20,80
ORANGINA,ORANGINA,3124480200433,—,3.50,100
LEFFE canette 50 cl,LEFFE canette 50 cl,('&àéé_éééç'&,—,2.90,100
FREEDENT fraise,FREEDENT fraise,'ààçç(è-,—,1.20,100
FREEDENT Cassis,FREEDENT Cassis,'éé&&ç-ç,—,1.20,100
FREEDENT menthe,FREEDENT menthe,"'ààççéç""",—,1.20,100
FRERDENT white,FRERDENT white,"'éàèà""çç",—,1.20,100
BRIDOU mini bâton de,BRIDOU mini bâton de berger nature ,"""''ç_(""à_""àà&",—,4.99,80
WERTHER ORIGINAL sal,WERTHER ORIGINAL salted caramel,"'à&''ààç""(-èè",—,4.99,80
TOFFIFEE white choco,Toffifee,4014400400007,—,3.99,80
LU pti coeur choco'c,LU pti coeur choco'croc,"""à(-''à_(àé_""",—,2.99,80
ICE TEA PECHE 50CL,ICE TEA PECHE 50CL,3228886043714,—,1.90,100
AIRWAYVES,AIRWAYVES,42211990,—,1.20,100
BELIN 110G,BELIN 110G,7622202023958,—,2.90,100
Canette JACK D &Coca,Canette JACK D &Coca,5099873026076,—,5.00,100
VIEUX CARION viognie,VIEUX CARION viognier blanc,"""(-'èàà'çéè-(",—,4.99,80
GARD rosé,GARD rosé ,"""(-'èà-_à""è'ç",—,4.99,100
GUINNESS 33CL,GUINNESS 33CL,5000213008232,—,2.90,100
BOITE 50CL KRONEMBO,'BOITE 50CL KRONEMBOURG,3080216017785,—,2.00,80
BOITE 50CL GOUDALE,'BOITE 50CL GOUDALE BIERE,3261570000655,—,2.90,80
MAZA GUAVA 50CL,MAZA GUAVA 50CL,8718226322029,—,2.20,100
GRAN,GRAN,7622210601988,—,2.90,100
SANPELLEGRINO MELO/A,PEL,5000394002241,—,4.90,80
