code,designation,gamme,st_actuel,st_min,pr_vente
__(àéé_àà_('-,REDBULL energy sparkling,Boissons energetiques,8,5,3.50
7622202024115,Berlin mini pizza,Snacks,2,5,2.90
54492509,Coca-cola en verre,Boissons energetiques,22,5,1.50
5000112683226,Canette Absolut Watermelon,Alcools,12,5,5.00
5000112683288,Canette absolut sprit,Alcools,12,5,5.00
5099873026076,Canette JACK D &Coca,Boissons energetiques,21,5,5.00
4008400122625,Giotto ,Confiseries,2,5,5.20
8000500426593,Giotto vanille bleu,Confiseries,2,5,5.20
5053990175888,PRING cheese & chilli,Snacks,1,5,3.90
3564700421383,Tokapi ball,Confiseries,35646,5,1.99
1002001063,Puff 18K,Snacks,9,5,16.50
3497917003854,BRETS aligot,Snacks,3,5,3.40
"è""&éà'àà&è(à_",ABSOLUT VODKA 5cl,Alcools,5,5,3.90
__(àéé_àà_(-à,REDBULL  pineapple,Boissons energetiques,21,5,3.50
"çààé'çàéçà""à-",REDBULL spring,Boissons energetiques,22,5,3.50
"çààé'çàéè(à&""",REDBULL melon,Boissons energetiques,24,5,3.50
"-çàé(""_ààè""-è",BLUE mangue,Boissons energetiques,19,5,3.00
"-çàé(""_àà(&'&",BLUE pêche new,Boissons energetiques,19,5,3.00
è-'à&è(è&é'é-,GREY GOOSE 5cl,Alcools,15,5,4.90
"(àçç_è""àà&""ç'",JACK DANIEL honey 5cl,Alcools,10,5,4.90
"""&'è-çèèéà""à""",LABEL 5 blended,Alcools,15,5,6.50
"(àààé_&àé(""'-",CAPTAIN COLA original,Boissons energetiques,13,5,5.50
"_-_'ç(""""_(&çè",WINGY chicken chocolate,Confiseries,4,5,2.50
_ççàà''àààà&è,POCKT fraise,Confiseries,54,5,2.99
_&'&àçàé&éçç,CANDY POP m&ms,Confiseries,3,5,2.99
"_&'&àçàé&""""-",CANDY POP twis,Confiseries,3,5,2.99
"_&'&àçàé&""à(",CANDY POP oreo,Confiseries,1,5,2.99
"""èèàà""'&à(ç('",BUENOS DIAS pistache,Confiseries,18,5,1.50
"""èèàà""'&à(éçç",BUENOS DIAS noisette,Confiseries,16,5,1.50
_àà(éè-à,KINDER BUENO chocolat ,Confiseries,21,5,1.50
"(çààç(&""&&(à(",SNICKERS,Confiseries,19,5,1.00
"_(ç""_ç""èéà''é",NUTS ,Confiseries,23,5,1.20
_ààà(ààéèé'_à,hanuta ,Confiseries,15,5,3.50
"'àçç'-&ààà""çè",VODY noir,Boissons energetiques,22,5,5.00
"(à""è(""à&",MOUCHOIRS ,Hygiene,32,5,0.50
è-éééàéàé'&&(,BELIN minizza,Snacks,3,5,2.50
çà'è'(&',red bull,Boissons energetiques,490,5,2.90
"__(à""_ç&éàç-(",bluee,Boissons energetiques,28871,5,3.00
3178530424904,BONNE MAMAN petit sable caramel ,Confiseries,10,5,3.99
3178530420395,BONNE MAMAN madeleine choco,Confiseries,10,5,4.50
3178530427219,BONNE MAMAN tendre coeur,Confiseries,9,5,3.99
3178530407396,BONNE MAMAN petit cookie choco,Confiseries,10,5,4.99
"""&è_(""à'é&éé'",BONNE MAMAN madeleines framboises ,Confiseries,10,5,4.50
"""&è_(""à'é'çà'",BONNE MAMAN petit sable caramel,Confiseries,9,5,3.99
çà'_-(&è,REDBULL winter,Boissons energetiques,49,5,2.90
"""_àààéà'à&-çç",TABLETTE KITKAT cookie dough,Confiseries,10,5,4.99
"""_àààéà'ç&'é""",TABLETTE KITKAT salted caramel ,Confiseries,10,5,4.99
"""&è_(""à'éà""ç(",BONNE MAMAN madeleines chocolats ,Confiseries,10,5,4.50
"""&è_(""à'àéç__",BONNE MAMAN tartelette citron ,Confiseries,10,5,3.20
